date,metric,value,unit,source
2026-07-20,sleep_duration_hours,7.2,hours,oura
2026-07-20,resting_heart_rate_bpm,56,bpm,oura
2026-07-20,hrv,48,ms,oura
2026-07-20,steps,9200,count,fitbit
2026-07-21,sleep_duration_hours,7.5,hours,oura
2026-07-21,resting_heart_rate_bpm,55,bpm,oura
2026-07-21,hrv,51,ms,oura
2026-07-21,steps,10500,count,fitbit
2026-07-22,sleep_duration_hours,7.0,hours,oura
2026-07-22,resting_heart_rate_bpm,57,bpm,oura
2026-07-22,hrv,49,ms,oura
2026-07-22,steps,8800,count,fitbit
2026-07-23,sleep_duration_hours,7.4,hours,oura
2026-07-23,resting_heart_rate_bpm,56,bpm,oura
2026-07-23,hrv,50,ms,oura
2026-07-23,steps,11200,count,fitbit
2026-07-24,sleep_duration_hours,6.9,hours,oura
2026-07-24,resting_heart_rate_bpm,58,bpm,oura
2026-07-24,hrv,47,ms,oura
2026-07-24,steps,9500,count,fitbit
2026-07-25,sleep_duration_hours,7.1,hours,oura
2026-07-25,resting_heart_rate_bpm,55,bpm,oura
2026-07-25,hrv,52,ms,oura
2026-07-25,steps,10100,count,fitbit
2026-07-26,sleep_duration_hours,7.3,hours,oura
2026-07-26,resting_heart_rate_bpm,56,bpm,oura
2026-07-26,hrv,50,ms,oura
2026-07-26,steps,9800,count,fitbit
2026-07-27,sleep_duration_hours,5.8,hours,oura
2026-07-27,resting_heart_rate_bpm,57,bpm,oura
2026-07-27,hrv,46,ms,oura
2026-07-27,steps,7600,count,fitbit
2026-07-28,sleep_duration_hours,5.5,hours,oura
2026-07-28,resting_heart_rate_bpm,62,bpm,oura
2026-07-28,hrv,38,ms,oura
2026-07-28,steps,4200,count,fitbit
2026-07-29,sleep_duration_hours,5.2,hours,oura
2026-07-29,resting_heart_rate_bpm,64,bpm,oura
2026-07-29,hrv,32,ms,oura
2026-07-29,steps,3100,count,fitbit
